id,created_at,favorites,retweets,retweeted,source,text
844275965941485568,3/21,0,2526,FALSE,Twitter for iPhone,"RT @USDA: .@POTUS Proclaims March 21, 2017, as National Agriculture Day: https://t.co/EW14ZZdHkV #NationalAgDay"
844638594878857217,3/22,40584,10567,FALSE,Twitter for iPhone,I spoke with PM Theresa May of the United Kingdom to offer my condolences on today's terror attack in London....… https://t.co/5FclJUWvr5
844873366104244225,3/23,22195,5524,FALSE,Media Studio,You were given many lies with #Obamacare! Go with our plan! Call your Rep &amp; let them know you're behind #AHCA ➡️… https://t.co/8J14RnhOVG
844951731050074112,3/23,17034,3998,FALSE,Twitter for iPhone,We must #RepealANDReplace #Obamacare for the millions that are suffering. Tell your Rep you support #AHCA. Locator… https://t.co/If95ybn03H
845069278915235840,3/24,27283,6138,FALSE,Twitter for iPhone,Disastrous #Obamacare has led to higher costs &amp; fewer options. It will only continue to get worse! We must #RepealANDReplace. #PassTheBill
845248036330766338,3/24,27459,4867,FALSE,Twitter for iPhone,"After seven horrible years of ObamaCare (skyrocketing premiums &amp; deductibles, bad healthcare), this is finally your chance for a great plan!"
845269215305195523,3/24,21228,4469,FALSE,Twitter for iPhone,"The irony is that the Freedom Caucus, which is very pro-life and against Planned Parenthood, allows P.P. to continue if they stop this plan!"
845287107321061381,3/24,17921,3413,FALSE,Twitter for iPhone,"THANK YOU! More conservative groups are endorsing #AHCA. @ACUConservative, @TeaPartyExpress and dozens more! #PassTheBill #RepealANDReplace"
845320378725621762,3/24,27927,5775,FALSE,Twitter for iPhone,"Today, I was pleased to announce the official approval of the presidential permit for the #KeystonePipeline. A grea… https://t.co/W5j8gdZ6QZ"
845623077052526592,3/25,13529,2998,FALSE,Twitter for iPhone,Weekly Address - 11:00 A.M. today! ➡️https://t.co/CppERgEPBf https://t.co/tDAbRHdAi7
845649960855113728,3/25,43834,9133,FALSE,Twitter for iPhone,ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!
845650434891091968,3/25,18072,3956,FALSE,Twitter for iPhone,Thank you @SecretaryPerry &amp; @GregAbbott_TX! #MAGA🇺🇸 https://t.co/CkVRG1Vq7q
845697562875170819,3/25,0,4261,FALSE,Twitter for iPhone,"RT @NASA: Watch @WhiteHouse’s weekly address about NASA Authorization Act signed by @POTUS, continuing missions of exploration https://t.co…"
845781411940454400,3/25,46926,10471,FALSE,Twitter for iPhone,Thanks you for all of the Trump Rallies today. Amazing support. We will all MAKE AMERICA GREAT AGAIN! https://t.co/qSD1tYUhmP
846446865918783488,3/27,29943,7937,FALSE,Twitter Web Client,"Today I'm signing 4 bills under the Congressional Review Act that cancels regulations &amp; eliminates unnecessary, job… https://t.co/E8Ev8dnPfn"
846447280228110339,3/27,45999,10444,FALSE,Twitter Web Client,"I'll keep working with Congress, agencies, and the American people until we eliminate every unnecessary, job-killing regulation we can find!"
846745344528568320,3/28,24005,5447,FALSE,Twitter for iPhone,"The failing @NYTimes would do much better if they were honest! 
https://t.co/TWtQcfXfS4"
846786537648017408,3/28,0,2007,FALSE,Twitter Web Client,RT @EPA: .@POTUS is at EPA today to announce an executive order directing us to review the Clean Power Plan. Watch it live: https://t.co/Be…
846786654950100992,3/28,23102,4867,FALSE,Twitter for iPhone,With the fraternal order of police in the Oval Office - after a great listening session in the Roosevelt Room at th… https://t.co/bfCWNQGNRq
846841556690722817,3/28,17317,3513,FALSE,Twitter for iPhone,"A NEW ERA IN AMERICAN ENERGY! 
#MadeInTheUSA🇺🇸
Watch here: https://t.co/cOb8TyTIq6 https://t.co/btBTQBE2Kc"
846883082842128384,3/29,39347,10341,FALSE,Twitter for iPhone,"Tonight I'm proud to sign S. 305, which encourages the display of the U.S. flag on National Vietnam War Veterans Da… https://t.co/yH56XTXjTs"
846904972671238144,3/29,0,5142,FALSE,Twitter for iPhone,"RT @FLOTUS: .@POTUS and I enjoyed hosting members of the Senate &amp; guests this evening, along w @VP &amp; @SecondLady. Great conversation &amp; musi…"
846906227867078658,3/29,23462,5939,FALSE,Twitter for iPhone,My action today is the latest in a series of steps to create American jobs and to grow American wealth! #MAGA ➡️… https://t.co/Q82PI9yMTQ
847077970900602881,3/29,36005,7406,FALSE,Twitter for iPhone,If the people of our great country could only see how viciously and inaccurately my administration is covered by certain media! -DJT
847271367518978048,3/30,0,16682,FALSE,Twitter for iPhone,"RT @realDonaldTrump: Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.
#ThankAVeteran https://…"
847272101086085121,3/30,14857,2480,FALSE,Twitter for iPhone,".@FLOTUS and I stopped by the Women's Empowerment Panel in the East Room of the @WhiteHouse today. #ICYMI, watch: https://t.co/HKTRfIvPFy"
847273540940214272,3/30,0,2804,FALSE,Twitter for iPhone,"RT @SecShulkin: On this #NationalVietnamWarVeteransDay, we thank our #Vietnam Veterans for serving. https://t.co/HSEpI6AHw2 https://t.co/0O…"
847274301493354496,3/30,18604,3520,FALSE,Twitter for iPhone,Congratulations David Friedman! https://t.co/8PGfIybRzZ
